Appliance,Watts,,,,
Blender,500,,,,
Can Opener,150,,,,
Coffee Machine,1000,,,,
Dishwasher,1200-1500,,,,
Espresso Machine,800,,,,
Freezer - Upright - 15 cu. ft.,1240 Wh/Day**,,,,
Freezer - Chest - 15 cu. ft.,1080 Wh/Day**,,,,
Fridge,1411 Wh/day**,,,,
Fridge -16 cu. ft. (AC),1200 Wh/day**,,,,
Garbage Disposal,450,,,,
Kettle - Electric,1200,,,,
Microwave,1000,,,,
Oven - Electric,1200,,,,
Toaster,850,,,,
Toaster Oven,1200,,,,
Stand Mixer,300,,,,
Box Fan,200,,,,
Fan,120,,,,
AC,3800,,,,
"Central Air Conditioner - 10,000 BTU NA",3250,,,,
Furnace Fan Blower,800,,,,
Space Heater NA,1500,,,,
Tankless Water Heater - Electric,18000,,,,
Water Heater - Electric,4500,,,,
"Window Air Conditioner 10,000 BTU NA",900,,,,
"Window Air Conditioner 12,000 BTU NA",3250,,,,
Well Pump - 1/3 1HP,750,,,,
Clothes Dryer - Electric,3000,,,,
Clothes Dryer - Gas,1800,,,,
Clothes Washer,800,,,,
Iron,1200,,,,
"Band Saw - 14""",1100,,,,
"Belt Sander - 3""",1000,,,,
"Chain Saw - 12""",1100,,,,
"Circular Saw - 7-1/4""",900,,,,
"Circular Saw 8-1/4""",1400,,,,
"Disc Sander - 9""",1200,,,,
"Drill - 1/4""",250,,,,
"Drill - 1/2""",750,,,,
"Drill - 1""",1000,,,,
Hedge Trimmer,450,,,,
Weed Eater,500,,,,
Clock Radio,7,,,,
Curling Iron,150,,,,
Dehumidifier,280,,,,
Electric Shaver,15,,,,
Electric Blanket,200,,,,
Hair Dryer,1500,,,,
Humidifier,200,,,,
Radiotelephone - Receive,5,,,,
Radiotelephone - Transmit,75,,,,
Sewing Machine,100,,,,
Vacuum,1000,,,,
Bluray Player,15,,,,
Cable Box,35,,,,
DVD Player,15,,,,
TV,150,,,,
TV - Plasma,200,,,,
Satellite Dish,25,,,,
Stereo Receiver,450,,,,
Video Game Console,150,,,,
CFL Bulb,11,,,,
CFL Bulb - 60 Watt Equivalent,18,,,,
CFL Bulb - 75 Watt Equivalent,20,,,,
CFL Bulb - 100 Watt Equivalent,30,,,,
Compact Fluorescent 20 Watt,22,,,,
Compact Fluorescent 25 Watt,28,,,,
Halogen - 40 Watt,40,,,,
Incandescent 50 Watt,50,,,,
Incandescent 100 Watt,100,,,,
LED Bulb,10,,,,
LED Bulb - 60 Watt Equivalent,13,,,,
LED Bulb - 75 watt equivalent,18,,,,
LED Bulb - 100 Watt Equivalent,23,,,,
Desktop Computer (Standard),200,,,,
Desktop Computer (Gaming),500,,,,
Laptop,100,,,,
LCD Monitor,100,,,,
Modem,7,,,,
Paper Shredder,150,,,,
Printer,100,,,,
Router,7,,,,
Smart Phone - Recharge,6,,,,
Tablet - Recharge,8,,,,
